Dokument ID;Nachname;Vorname;Pseudonym;Gender;Titel;Untertitel_im_Text;Untertitel_im_Inhaltsverzeichnis;Jahr_ED;entstanden;Gattungslabel_ED;Gattungslabel_ED_normalisiert;Medium_ED;Medientyp_ED;Hg.;Kanon_Status;Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position);seriell;Seiten;Medium_Zweitdruck;Jahr_Zweitdruck;Label_Zweitdruck;Medium_Drittdruck;Jahr_Drittdruck;Label_Drittdruck;in_Deutscher_Novellenschatz_(Heyse);in_Pantheon;in_RUB_Sammlung;in_B-v-Wiese;Verantwortlich_Erfassung;falls andere Quelle;Herkunft_Prätext_lt_Paratext;Wahrheitsbeglaubigung_lt_Paratext;Bearbeitungsqualität;ist_spätere_Fassung_von;UrhGeschBis;falls_Episode_als_Ganztext_erfasst;Kontrafaktizität_annotiert
00048-00;Mörike;Eduard;;m;Mozart auf der Reise nach Prag;Novelle;;1855;;N;N;Cotta’s Morgenblatt für gebildete Leser;Zeitschrift;;3;;TRUE;;;;;;;;TRUE;;;;;DigBib;;;normalisiert;;;;
00049-00;Storm;Theodor;;m;Eine Halligfahrt;Erstpublikation. “Zerstreute Kapitel. Kapitel X”;;1871;;0;0;Westermanns illustrierte deutsche Monatshefte;Zeitschrift;;3;;TRUE;81-94;;;;;;;TRUE;TRUE;TRUE;TRUE;;;;;normalisiert;;;;
00050-00;Imhoff;Amalie, von;;f;Die Nacht im Prado;Novelle;;1801;;N;N;Aglaia. Jahrbuch für Frauenzimmer auf 1802;Taschenbuch;;0;;FALSE;324-391;;;;;;;;;;;;;;;;;;;
00051-00;Ahlefeld;Charlotte von;;f;Marie Müller;;;1799;;R;R;[als Buch];Monographie;;2;;FALSE;;;;;;;;;;;;;;;;normalisiert;;;;
00052-00;o.N;o.N.;;unbekannt;Der Bassa von Algier;Dramatisierte Novelle;;1781;;N;N;[als Buch];Monographie;;0;;FALSE;;;;;;;;;;;;;;;;;;;;
00053-00;Rellstab;Ludwig;;m;Miller und Müller;Novelle;;1841;;N;N;Sonnenblumensträuße;Anthologie;;0;;FALSE;255-346;;;;;;;;;;;;;;;;;;;
00054-00;Rellstab;Ludwig;;m;Berghold;Novelle;;1841;;N;N;Sonnenblumensträuße;Anthologie;;0;;FALSE;;;;;;;;;;;;;;;;;;;;
00055-00;Rellstab;Ludwig;;m;Osraim der Suchäer;Novelle;;1838;;0;0;Sommerfrüchte, Bd. 1;Anthologie;;0;;FALSE;;;;;;;;;;;;;;;;;;;;
00056-00;Kalkreuth;Friedrich Graf;;m;Ebba Gräfin Brahe.;;;1820;;0;0;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;73-140;;;;;;;;;;;;;;;niedrig_original;;;;
00057-00;Theodore;;;f;Die Mutter und Ihre Töchter;Nach einer Legende;;1820;;V_Legende;V ;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;247-255;;;;;;;;;;;;;;;niedrig_original;;;;
00058-00;Malsburg;Freiherr von;;m;Die drei Fräulein von Boyneburg;Balladen;;1820;;V_Ballade;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;257-269;;;;;;;;;;;;;;;niedrig_original;;;;
00059-00;Erhardt;Elise;;f;Der Brief;Eine Erzählung;;1820;;E;E;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;353-372;;;;;;;;;;;;;;;niedrig_original;;;;
00060-00;Schuetz;;;m;Der Raub der Verlobten.;Erzählung;;1820;;E;E;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;274-308;;;;;;;;;;;;;;;niedrig_original;;;;
