Dokument ID;Nachname;Vorname;Pseudonym;Gender;Titel;Untertitel_im_Text;Untertitel_im_Inhaltsverzeichnis;Jahr_ED;entstanden;Gattungslabel_ED;Gattungslabel_ED_normalisiert;Medium_ED;Medientyp_ED;Hg.;Kanon_Status;Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position);seriell;Seiten;Medium_Zweitdruck;Jahr_Zweitdruck;Label_Zweitdruck;Medium_Drittdruck;Jahr_Drittdruck;Label_Drittdruck;in_Deutscher_Novellenschatz_(Heyse);in_Pantheon;in_RUB_Sammlung;in_B-v-Wiese;Verantwortlich_Erfassung;falls andere Quelle;Herkunft_Prätext_lt_Paratext;Wahrheitsbeglaubigung_lt_Paratext;Bearbeitungsqualität;ist_spätere_Fassung_von;UrhGeschBis;falls_Episode_als_Ganztext_erfasst;Kontrafaktizität_annotiert
00882-006;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;121-144;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-007;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;145-168;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-008;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;169-192;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-009;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;193-216;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-010;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;217-240;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-011;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;241-264;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-012;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;265-288;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-013;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;289-312;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-014;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;313-336;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-015;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;337-360;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-016;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;361-384;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-017;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;385-408;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-018;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;409-432;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-019;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;433-456;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-020;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;457-480;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-021;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;481-504;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-022;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;505-528;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-023;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;529-552;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-024;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;553-576;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-025;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;577-600;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-026;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;601-624;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-027;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;625-648;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-028;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;649-672;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-029;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;673-696;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-030;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;697-720;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-031;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;721-744;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-032;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;745-768;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-033;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;769-792;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-034;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;793-816;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-035;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;817-840;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-036;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;841-864;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-037;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;865-888;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-038;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;889-912;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-039;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;913-936;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-040;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;937-960;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-041;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;961-984;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-042;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;985-1008;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-043;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1009-1032;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-044;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1033-1056;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-045;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1057-1080;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-046;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1081-1104;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-047;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1105-1128;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-048;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1129-1152;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-049;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1153-1176;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;
00882-050;May;Karl;;m;Der Weg zum Glück;Vom Verfasser des »Waldröschen«, »Verlorner Sohn«, »Deutsche Helden« etc.;Roman aus dem Leben Ludwig des Zweiten von Karl May;1886;;(unbekannt);(unbekannt);Der Weg zum Glück, - Höchst interessante Begebenheiten aus dem Leben und Wirken des Königs Ludwig II. von Baiern;Kolportageroman, Fortsetzungsroman;H. G. Münchmeyer;1;;TRUE;1177-1200;Karl May's Illustrierte Werke;1904;R;;;;FALSE;;;;Jana Grimm;Projekt Gutenberg, https://www.reisen-zu-karl-may.de/werk/glueck.html;;;;;;;1
